RecId,Group,Title,Location,Method,Color,Aliases,Image,ImageCopyright,SushiAlias,ScientificName,Description,ConsumerNote,Summary,Alternatives,PDF1,PDF1Text,PDF2,PDF2Text,PDF3,PDF3Text,PDF4,PDF4Text,PDF5,PDF5Text,PDF6,PDF6Text,PDF7,PDF7Text
68,Abalone,Abalone,Worldwide,Contained Production,Green,"Green Abalone, Pink Abalone, Red Abalone, Awabi",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/abalone.jpg,© Monterey Bay Aquarium,Awabi,Haliotis spp.,"<b>Abalone farmed in land- and sea-based enclosures are a ""Best Choice.""   Sea-ranched abalone from China and Japan are an ""Avoid.""</b>",Abalone is known as awabi when prepared for sushi.,"Abalone are native to temperate and tropical oceans around the world. Of the 100 species found worldwide, approximately 15 are farmed for human consumption.<br><br>    Roughly one-fifth of all abalone in the U.S. market is raised domestically. The rest is imported primarily from Mexico, Australia, Chile and China. These countries generally use land-based tanks or tethered ocean cages where the farmed abalone primarily eat marine algae. In addition, minimal chemical use means effluent from these farms has very little environmental impact.<br><br>    In China and Japan, some abalone are raised in ""sea ranches"" that are, in essence, underwater pastures for farmed abalone to graze. Large areas of seafloor are modified for farming purposes, resulting in significant changes to the habitat. Potential predators and other grazing species are removed, and widespread control over the types of animals and plants found within the ranched area is maintained.<br><br>    While farmed abalone is usually a good option to buy, sea-ranched abalone is rated as an ""Avoid"" due to the potential significant changes to ocean habitat and the disruption and disturbance to all other forms of marine life that live within the ranch.<br><br>    Look for abalone farmed in land- or sea-based enclosures as a ""Best Choice.""",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_AbaloneFarmedReport.pdf,International Farmed Abalone Seafood Watch Report,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_AbaloneSeaRanchedReport.pdf,Ranched Abalone Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
380,Abalone,Abalone ,"China, Japan",Sea Ranched,Red,"Green Abalone, Pink Abalone, Red Abalone, Awabi",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/abalone.jpg,© Monterey Bay Aquarium,Awabi,Haliotis spp.,"<b>Abalone farmed in land- and sea-based enclosures are a ""Best Choice.""   Sea-ranched abalone from China and Japan are an ""Avoid.""</b>",Abalone is known as awabi when prepared for sushi.,"Abalone are native to temperate and tropical oceans around the world. Of the 100 species found worldwide, approximately 15 are farmed for human consumption.<br><br>    Roughly one-fifth of all abalone in the U.S. market is raised domestically. The rest is imported primarily from Mexico, Australia, Chile and China. These countries generally use land-based tanks or tethered ocean cages where the farmed abalone primarily eat marine algae. In addition, minimal chemical use means effluent from these farms has very little environmental impact.<br><br>    In China and Japan, some abalone are raised in ""sea ranches"" that are, in essence, underwater pastures for farmed abalone to graze. Large areas of seafloor are modified for farming purposes, resulting in significant changes to the habitat. Potential predators and other grazing species are removed, and widespread control over the types of animals and plants found within the ranched area is maintained.<br><br>    While farmed abalone is usually a good option to buy, sea-ranched abalone is rated as an ""Avoid"" due to the potential significant changes to ocean habitat and the disruption and disturbance to all other forms of marine life that live within the ranch.<br><br>    Look for abalone farmed in land- or sea-based enclosures as a ""Best Choice.""",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_AbaloneFarmedReport.pdf,International Farmed Abalone Seafood Watch Report,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_AbaloneSeaRanchedReport.pdf,Ranched Abalone Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
399,Alfonsino,Alfonsino,New Zealand,"Bottom Trawl, Midwater Trawl (BXY3)",Red,"Beryzx, Red Bream, Golden Eye Perch",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/snapper_alfonsino.jpg,© Scandinavian Fishing Yearbook/www.scandfish.com,NULL,Beryx splendens and Beryx decadactylus,"<b>Due to impacts of bottom trawling on seafloor habitats and species that are accidentally caught or harmed in this fishery, Seafood Watch rates trawl-caught alfonsino as an ""Avoid."" Look for midwater trawl-caught alfonsino (except from management area BXY3).</b>","Alfonsino from New Zealand is sometimes sold as red snapper, but should not be confused with the true red snapper found off the U.S. Atlantic coast.","There are two fishing methods for alfonsino in New Zealand: bottom trawl and midwater trawl. Due to impacts of bottom trawling on seafloor habitats and species that are accidentally caught or harmed, Seafood Watch rates bottom trawl-caught alfonsino as an ""Avoid.""<br><br>    As midwater trawl gear does not touch the bottom, concerns with seafloor habitat are not an issue. But accidental bycatch is of concern, and these alfonsino fisheries are catching a number species of endangered albatrosses and petrels.<br><br>    There are three management areas for this fishery, and in one of these (BXY3) the population size of alfonsino is unknown and there are bycatch concerns, leading to an ""Avoid"" rating also for midwater trawl. Both other areas using midwater trawl are a ""Good Alternative.""",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_Alfonsino_Report.pdf,Alfonsino Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
407,Alfonsino,Alfonsino,New Zealand,Midwater Trawl,Yellow,"Beryzx, Golden Eye Perch, Red Bream,",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/snapper_alfonsino.jpg,© Scandinavian Fishing,NULL,NULL,"<b>Due to impacts of bottom trawling on seafloor habitats and species that are accidentally caught or harmed in this fishery, Seafood Watch rates trawl-caught alfonsino as an ""Avoid."" Look for midwater trawl-caught alfonsino (except from management area BXY3).</b>","Alfonsino from New Zealand is sometimes sold as red snapper, but should not be confused with the true red snapper found off the U.S. Atlantic coast.","There are two fishing methods for alfonsino in New Zealand: bottom trawl and midwater trawl. Due to impacts of bottom trawling on seafloor habitats and species that are accidentally caught or harmed, Seafood Watch rates bottom trawl-caught alfonsino as an ""Avoid.""<br><br>    As midwater trawl gear does not touch the bottom, concerns with seafloor habitat are not an issue. But accidental bycatch is of concern, and these alfonsino fisheries are catching a number species of endangered albatrosses and petrels.<br><br>    There are three management areas for this fishery, and in one of these (BXY3) the population size of alfonsino is unknown and there are bycatch concerns, leading to an ""Avoid"" rating also for midwater trawl. Both other areas using midwater trawl are a ""Good Alternative.""",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_Alfonsino_Report.pdf,Alfonsino Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
431,Anchovy,Anchovy,Marine Stewardship Council Certified,Wild,Yellow,"Deepbody, Dusky, Flat, Key, Slough & Striped Anchovy",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/anchovy_engraulis.jpg,Scandinavian Fishing Yearbook/www.scandfish.com,NULL,NULL,NULL,NULL,"<p></p>  Seafood Watch conducted an <a href="" http://www.seafoodwatch.org/cr/cr_seafoodwatch/sfw_eco_certification.aspx "" target=""_blank"" style=""color:#222222;""><span style=""color:#222222;""> eco-certification benchmarking study</span></a> to identify which standards are consistent with our sustainability criteria. We identified the  <a href=""javascript:openNewWindow('http://www.msc.org/track-a-fishery/fisheries-in-the-program/fisheries-by-species/fisheries-by-species#anchovy','popup','popup',780,580,'scrollbars,toolbar,resizable,location')"" title=""Learn more on the MSC web site.""><gif"" width=""23"" height""16"" title=""Learn more on the MSC web site."">Marine Stewardship Council</a> (MSC) standard as equivalent to at least our yellow ""Good Alternative"" recommendation.     <img style=""max-height: 74px; display: block"" src=""/cr/cr_seafoodwatch/content/images/eco/logos/msc.jpg"" alt=""MSC Certified"" />",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch-Benchmarking-FAQs.pdf,Eco-Certification Benchmarking Project,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/eco/MBA_SeadoodWatch_MSC_Benchmarking_Report.pdf,Marine Stewardship Council Benchmarking Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
513,Anchovy,"Anchovy, European",Black & Mediterranean Seas,Wild,Red,Anchovy,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/european_anchovy.jpg,© Monterey Bay Aquarium,NULL,Engraulis encrasicolus,"<b>European anchovy from the Mediterranean Sea receive an ""Avoid"" recommendation because of poor management. Their abundance and the impacts of fishing levels are also unknown. </b>","European anchovy is most commonly sold canned, but also can be found frozen, fresh, prepared and preserved and salted. Anchovy is available year-round.","The abundance of European anchovy is largely unknown throughout the Mediterranean region. Overfishing of anchovy is occurring in several areas.    <br></br>  The fishery that targets European anchovy in the Adriatic Sea also targets Atlantic sardine and other small fishes (e.g., mackerels, horse mackerels, Spanish sardine, sprat). There is concern about overfishing of chub mackerel in these fisheries and some concern about incidental catches of threatened and endangered dolphins.  <br></br>  Management of the European anchovy fisheries throughout the Mediterranean is currently relatively poor, except in the Adriatic Sea, where a management plan has just been introduced.   <br></br>  The purse seines and pelagic trawls used to capture European anchovy at or near the water surface have little impact on bottom habitats. However, since European anchovy are prey for numerous species there are concerns about the impacts of these fisheries on the food web and overall ecosystem.  <br></br>  Consumers should choose the relatively abundant and well-managed Pacific sardines from U.S. waters - a Seafood Watch ""Best Choice.""  <br></br>",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/BOI_SeafoodWatch_AtlanticSardine_EUAnchovyReport.pdf,European Anchovy BOI Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
514,Anchovy,"Anchovy, European",Adriatic Sea,Wild,Yellow,Anchovy,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/european_anchovy.jpg,© Monterey Bay Aquarium,NULL,Engraulis encrasicolus,"<b>European anchovy from the Adriatic Sea receive a ""Good Alternative"" recommendation because their abundance and the impacts of fishing levels are unknown. </b>","European anchovy is most commonly sold canned, but also can be found frozen, fresh, prepared, preserved and salted. Anchovy is available year-round.","The abundance of European anchovy is largely unknown throughout the Mediterranean region. In the Adriatic Sea, there is debate among scientists as to whether fishing levels are sustainable.   <br></br>  The fishery that targets European anchovy in the Adriatic Sea also targets Atlantic sardine and other small fishes (e.g., mackerels, horse mackerels, Spanish sardine, sprat). There is concern about overfishing of chub mackerel in these fisheries and some concern about incidental catches of threatened and endangered dolphins.  <br></br>  Although management of the European anchovy fisheries throughout the Mediterranean is currently relatively poor, an exception is the Adriatic Sea, where a management plan has just been introduced.   <br></br>  The purse seines and pelagic trawls used to capture European anchovy fish at or near the water surface have little impact on bottom habitats. However, since European anchovy are prey for numerous species there are concerns about the impacts of these fisheries on the food web and overall ecosystem.",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/BOI_SeafoodWatch_AtlanticSardine_EUAnchovyReport.pdf,European Anchovy BOI Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,Arctic Char,Arctic Char,"U.S., Canada, Norway, Iceland",Farmed in Recirculating Systems,Green,"Arctic & Alpine Char, Iwana",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/char_arctic.jpg,© B. Guild Gillespie/www.chartingnature.com,Iwana,Salvelinus alpinus,"<b>Arctic char raised in recirculating systems are a ""Best Choice"" because these systems have minor environmental impacts. </b>","Although Arctic char is fished both commercially and by recreational fishermen, most Arctic char sold in the U.S. is farmed. Arctic char is sold as whole dressed fish or steak, and smoked or canned. It is known as iwana when prepared for sushi.","Most Arctic char is farmed in land-based, closed systems and so there is a low risk of <span id=""nolink"">pollution</span> and <span id=""nolink"">habitat</span> effects. Closed systems - particularly recirculating systems - treat their wastewater.  <br><br>    There is only a minor risk associated with escapes of farmed Arctic char to the wild and in some operations only sterile fish are raised and would therefore not be able to breed with wild Arctic char if they did escape. <br><br>    This combination of factors results in a recommendation of ""Best Choice.""",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_ArcticCharReport.pdf,Arctic Char Seafood Watch Report,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_Arctic_Char_Sustainable_Blue_Report.pdf,Sustainable Blue Arctic Char Seafood Watch Report,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_AquacultureFactCards.pdf,Aquaculture Fact Cards,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,Barramundi,Barramundi,U.S.,Farmed in Recirculating Systems,Green,"Asian Seabass, Barra, Giant & Palmer Perch",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/baramundi.jpg,© Scandinavian Fishing Yearbook/www.scandfish.com,NULL,Lates calcarifer,"<b>Barramundi in the U.S. is farmed in an environmentally sound way, making it a ""Best Choice."" There are concerns about how barramundi from Australia is produced, but it is still a ""Good Alternative"" to barramundi from other areas of the Indo-Pacific.  Most imported barramundi is farmed in open net pens or cages that pose a variety of problems and should therefore be avoided.</b>","Consumers should be aware that Nile perch, an invasive species fished in Lake Victoria, Africa, is often mislabeled as barramundi and does not fall under our recommendation for U.S. farmed barramundi.","A native of the tropical waters of northern Australia, southeast Asia and southern China, barramundi is a prized sport fish in Australia.  Known for its good taste and texture, barramundi is now farmed in the U.S. and becoming widely available to Americans.<br><br>    Barramundi is well-suited to aquaculture since it's hardy and fast growing.  It's also high in omega-3 fatty acids which have beneficial health effects to humans. The way in which they are farmed in the U.S. (in a fully recirculating system) eliminates the risks of fish escapes, disease transfer and pollution.<br><br>    In some areas of the Indo-Pacific, barramundi is commonly farmed in open net pens or cages that pose a variety of problems including risks of disease, pollution and escaped fish.  For this reason, imported barramundi farmed in open net pens or cages should be avoided.",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_FarmedBarramundiReport.pdf,Barramundi Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
396,Barramundi,Barramundi,Indonesia,Wild,Red,"Asian Seabass, Barra, Giant & Palmer Perch",http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/images/fish/baramundi.jpg,© Scandinavian Fishing Yearbook/www.scandfish.com,NULL,Lates calcarifer,"<b>Wild-caught barramundi from Indonesia ranks as ""Avoid"" due to concerns about the impacts of fishing on this population and ineffective fisheries management.</b>",NULL,"Barramundi is caught off eastern Indonesia using a variety of gear types. Although the hook-and-line fishery has a lower impact on bycatch species, overall concerns about the population status remain high and therefore all types of fishing rank as ""Avoid.""<br><br>     Lack of management in these fisheries is primarily due to lack of resources. This results in very little monitoring of this species, or of fishing activity and its impacts. Consequently little is known about the status of this fishery.",NULL,http://www.seafoodwatch.org/cr/cr_seafoodwatch/content/media/MBA_SeafoodWatch_IndonesianBarramundi_Report.pdf,Indonesian Wild Barramundi Seafood Watch Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
